Reference,Authors,Title,Year,Status,Status rationale,Notes,Data type,FullTextURL,"Trait,s","Guild,s",No. lines used,Data type,Sex ,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Wolbachia adjusted,Baseline reference (eg competitor genptype)
,"L Fang, G Sahana, P Ma, G Su, Y Yu, S Zhang…",Use of biological priors enhances understanding of genetic architecture and genomic prediction of complex traits within and between dairy cattle breeds,2017,remove,Unrelated,,,https://link.springer.com/article/10.1186/s12864-017-4004-z,,,,,,,,,,,,
,"VV Gursky, KN Kozlov, IV Kulakovskiy, A Zubair…",Translating natural genetic variation to gene expression in a computational model of the Drosophila gap gene regulatory network,2017,remove,Used Sequencing data Huang 2015,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184657,,,,,,,,,,,,
,"NS Forneris, ZG Vitezica…",Influence of epistasis on response to genomic selection using complete sequence data,2017,remove,Used Sequencing data Huang 2015,,,https://gsejournal.biomedcentral.com/articles/10.1186/s12711-017-0340-3,,,,,,,,,,,,
,ER Everman,The evolution and genetic control of stress tolerance in a complex world,2017,remove,Thesis underpinning Everman et al 2018,,,https://www.proquest.com/docview/1925545522?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,
,K Bourtzis,SECOND RESEARCH CO-ORDINATION MEETING Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture,2017,remove,Abstract,,,http://www-naweb.iaea.org/nafa/ipc/crp/Rearing%20Efficiency-RCM2.pdf,,,,,,,,,,,,
,A Fish,Leveraging gene expression and local ancestry to investigate regulatory epistasis in humans,2017,remove,Unrelated,,,https://ir.vanderbilt.edu/xmlui/bitstream/handle/1803/11250/Fish.pdf?sequence=1&isAllowed=y,,,,,,,,,,,,
"Horvath, Betancourt and Kalinka (2016) BMC Evolutionary Biology","B Horváth, AJ Betancourt, AT Kalinka",A novel method for quantifying the rate of embryogenesis uncovers considerable genetic variation for the duration of embryonic development in Drosophila …,2016,have,,,,https://link.springer.com/article/10.1186/s12862-016-0776-z,Duration of embryogenesis ,Fecundity?,43,,Female,,,,Molasses soy cornflour ,25,No,
,"S Uchizono, TQ Itoh, H Kim, N Hamada…",Deciphering the genes for taste receptors for fructose in Drosophila,2017,remove,Insufficient lines used,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5682250/,,,,,,,,,,,,
,"AT Branco, L Schilling, K Silkaitis, DK Dowling…",Reproductive activity triggers accelerated male mortality and decreases lifespan: genetic and gene expression determinants in Drosophila,2017,remove,Unrelated,,,https://www.nature.com/articles/hdy201689,,,,,,,,,,,,
,"S Zhou, SE Luoma, GE St. Armour, E Thakkar…",A Drosophila model for toxicogenomics: genetic variation in susceptibility to heavy metal exposure,2017,remove,Outbred,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006907,,,,,,,,,,,,
Nelson et al (2016) BMC Genomics,"CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,have,,,,https://link.springer.com/article/10.1186/s12864-016-3137-9,"Survival following starvation, metabolic composition",Stress resistance ,171-181,,Female,"10,7",100,,,,No,
,___,Behavior neurogenetics of gustation in Drosophila melanogaster,2017,remove,Unable to locate,,,"however, the diversity of genetic variation in taste sensitivity in the natural population remains uninvestigated. The Drosophila melanogaster Genetic Reference Panel (DGRP), which consists of inbred lines established from a natural population, enabled …",,,,,,,,,,,,
,"D Arbuthnott, TY Fedina, SD Pletcher…",Mate choice in fruit flies is rational and adaptive,2017,remove,Insufficient lines used,,,https://www.nature.com/articles/ncomms13953,,,,,,,,,,,,
,"CM Bergman, S Han, MG Nelson, V Bondarenko…",Genomic analysis of P elements in natural populations of Drosophila melanogaster,2017,remove,Unrelated,,,https://peerj.com/articles/3824/,,,,,,,,,,,,
,ME Durmaz,THE EFFECTS OF CLINAL POLYMORPHISMS ON DROSOPHILA LIFE HISTORY,2017,remove,Outbred,,,https://serval.unil.ch/resource/serval:BIB_28A5F9F48568.P001/REF.pdf,,,,,,,,,,,,
,"S Luo, J Lu",Silencing of transposable elements by piRNAs in drosophila: an evolutionary perspective,2017,remove,Review,,,https://www.sciencedirect.com/science/article/pii/S1672022917300815,,,,,,,,,,,,
,"MLI Hart, BL Vu, Q Bolden, KT Chen, CL Oakes…",Genes relocated between Drosophila chromosomes evolve under selection pressures different from canonical dispersed duplicates,2017,remove,Used Sequencing data Huang 2015,,,https://link.springer.com/article/10.1007%2Fs00239-018-9849-5,,,,,,,,,,,,
,"R Cogni, K Kuczynski, S Koury, E Lavington…",On the long-term stability of clines in some metabolic genes in Drosophila melanogaster,2017,remove,unrelated,,,https://www.nature.com/articles/srep42766#Sec13,,,,,,,,,,,,
,"S Ryazansky, E Radion, A Mironova, N Akulenko…",Natural variation of piRNA expression affects immunity to transposable elements,2017,remove,Used sequencing data from Mackay 2012 ,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006731,,,,,,,,,,,,
,"E Disdero, J Filée",LoRTE: Detecting transposon-induced genomic variants using low coverage PacBio long read sequences,2017,remove,Unrelated,,,https://mobilednajournal.biomedcentral.com/articles/10.1186/s13100-017-0088-x,,,,,,,,,,,,
,"BR Foley, P Marjoram, SV Nuzhdin",Basic reversal-learning capacity in flies suggests rudiments of complex cognition,2017,remove,F1 crosses used,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181749,,,,,,,,,,,,
,"WT Garrood, CT Zimmer, O Gutbrod, B Lüke…",Influence of the RDL A301S mutation in the brown planthopper Nilaparvata lugens on the activity of phenylpyrazole insecticides,2017,remove,Unrelated,,,https://www.sciencedirect.com/science/article/pii/S0048357517300111,,,,,,,,,,,,
,"E Cannavò, P Khoueiry, DA Garfield, P Geeleher…",Shadow enhancers are pervasive features of developmental regulatory networks,2016,unsure,,,,https://www.sciencedirect.com/science/article/pii/S0960982215014281,,,,,,,,,,,,
,E. King,The beavis effect in next-generation mapping panels in Drosophila melanogaster,2017,remove,No data collected,,,NA,,,,,,,,,,,,
,C. Chow,Etiology of Human Genetic Disease on the Fly,2017,remove,Review,,,NA,,,,,,,,,,,,
,E. Versace,Physiological and behavioral responses in Drosophila melanogaster to odorants present at different plant maturation stages,2016,don't,emailed,,,https://doi.org/10.1016/j.physbeh.2016.05.027,Odourant attraction,Behaviour,195,,Both,2-7,,,?,,No,
,E. Lavington,The effect of common inversion polymorphisms In(2L)t and In(3R)Mo on patterns of transcriptional variation in Drosophila melanogaster,2017,remove,Used sequencing data from Mackay 2012 ,,,https://dx.doi.org/10.1534%2Fg3.117.1133,,,,,,,,,,,,
,N. Gao,Incorporating gene annotation into genomic prediction of complex phenotypes,2017,remove,Used multiple DGRP datasets,,,https://doi.org/10.1534/genetics.117.300198,,,,,,,,,,,,
,S. Srivastav,Paternal induction of hybrid dysgenesis in Drosophila melanogaster is weakly correlated with both P-element and hobo element dosage,2017,remove,Used sequencing data from Mackay 2012 ,,,https://dx.doi.org/10.1534%2Fg3.117.040634,,,,,,,,,,,,
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,"H Okada, HA Ebhardt, SC Vonesch…",Proteome-wide association studies identify biochemical modules associated with a wing-size phenotype in Drosophila melanogaster,2016,have,Lacking PWAS data ,,,https://www.nature.com/articles/ncomms12649,Wing Imaginal disk protein concentrations ,,28,,,,,,"100 g of fresh yeast, 55 g of cornmeal, 10 g of wheat flour, 75 g of sugar and 8 g of bacto agar",25,,
,"Jim A. Mossman, Leann M. Biancani, Chen-Tseh Zhu, David M. Rand",Mitonuclear Epistasis for Development Time and Its Modification by Diet in Drosophila,2016,remove,CULLED - combined with various mtDNA haplotypes (Tom: cut in my opinion),,,https://doi.org/10.1534/genetics.116.187286,,,,,,,,,,,,
,"M Merenciano, A Ullastres, MAR de Cara…",Multiple Independent Retroelement Insertions in the Promoter of a Stress Response Gene Have Variable Molecular and Functional Effects in Drosophila,2016,unsure,Presence or absenece of TE via PCR,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006249,,,,,,,,,,,,
Carbone et al (2017) PNAS,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,have,,,,https://doi.org/10.1073/pnas.1613833113,Age-dependent phototaxis,Senescence ,191,,Both,,150,50,cornmeal molasses agar,25,,
Duun Rohde et al (2016) International Journal of Genomics,"P Duun Rohde, K Krag, V Loeschcke…",A quantitative genomic approach for analysis of fitness and stress related traits in a Drosophila melanogaster model population,2016,have,,,,https://www.hindawi.com/journals/ijg/2016/2157494/,"Fecundity, metabolic rate, survival, heatshock protein70 expression ",Thermal tolerance ,21-27,,Female ,,,,oatmeal sugar yeast agar,25,,
,L.P. Zakharenko,A link between phenotypic robustness and life expectancy in Drosophila melanogaster,2017,remove,Not in English,,,https://doi.org/10.18699/VJ17.301,,,,,,,,,,,,
Vonesch et al (2016) PLOS Genetics,"SC Vonesch, D Lamparter, TFC Mackay…",Genome-Wide Analysis Reveals Novel Regulators of Growth in Drosophila melanogaster,2016,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005616,Size,Morphology,143,,Both,,~24-25,,"100 g fresh yeast, 55 g cornmeal, 10 g wheat flour, 75 g sugar, 8 g bacto-agar and 1 liter tap water",25.5,,
,"Vitor G. Faria, Elio Sucena",From Nature to the Lab: Establishing Drosophila Resources for Evolutionary Genetics,2017,remove,Protocol,,,https://doi.org/10.3389/fevo.2017.00061,,,,,,,,,,,,
Zhou et al (2016) Environmental Health Perspectives,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,have,,,,https://doi.org/10.1289/ehp.1510513,"Development time, viability and activity following lead treatment ",Stress resistance,200,,Both,,,,cornmeal molasses yeast,25,,
,VG Faria,2.4. Contrasting Drosophila adaptation against systemic and oral bacterial infections,2016,don't,emailed,,,https://run.unl.pt/bitstream/10362/56696/1/PhD_VF.pdf#page=129,Survival,Bacterial Resistance,139,,Both,,,"10, Mixed",cornmeal agar,25,No,
,"CM Hunter, W Huang, TFC Mackay, ND Singh",The Genetic Architecture of Natural Variation in Recombination Rate in Drosophila melanogaster,2016,remove,F1 crosses used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005951,,,,,,,,,,,,
,"William H. Palmer, Darren J. Obbard",Variation and Evolution in the Glutamine-Rich Repeat Region of Drosophila Argonaute-2,2016,unsure,Defined the GRR haplotype of Ago2 among 127 lines ,,,https://doi.org/10.1534/g3.116.031880,,,,,,,,,,,,
,"CA Highfill, GA Reeves…",Genetic analysis of variation in lifespan using a multiparental advanced intercross Drosophila mapping population,2016,remove,DSPR,,,https://bmcgenomdata.biomedcentral.com/articles/10.1186/s12863-016-0419-9,,,,,,,,,,,,
,A Ganguly,Regulation of Food Choice in Drosophila melanogaster,2017,unsure,Thesis - Preference for Phenylalanine ,,,https://escholarship.org/content/qt7tc05269/qt7tc05269.pdf,,,,,,,,,,,,
Early et al (2017) PLOS One,"AM Early, N Shanmugarajah, N Buchon, AG Clark",Drosophila Genotype Influences Commensal Bacterial Levels,2017,don't,added ,"Means of residuals provided for bacterial denisty-, also doublecheck that it is indeed cornmeal medium used as only state ""Bloomington medium"" - email?",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0170332,Relative commensal load,?,36,,Male,3-5,30,,cornmeal medium ,25,all tetracycline-treated,
Mitchell et al (2017) PLOS One,"Chelsea L. Mitchell, Catrina E. Latuszek, Kara R. Vogel, Ian M. Greenlund, Rebecca E. Hobmeier, Olivia K. Ingram, Shannon R. Dufek, Jared L. Pecore, Felicia R. Nip, Zachary J. Johnson, Xiaohui Ji, Hairong Wei, Oliver Gailing, Thomas Werner",alpha-amanitin resistance in Drosophila melanogaster: A genome-wide association approach,2017,have,,,,https://doi.org/10.1371/journal.pone.0173162,Larval survival,Stress resistance,189,Mean,,,30,10,"cornmeal, granulated sugar, Brewer’s yeast, agar, and methylparaben",,,
,KJP Kelsey,Natural genetic variation involved in chromatin modification,2016,remove,unrelated,,,NA,,,,,,,,,,,,
,"K Dew-Budd, J Jarnigan, LK Reed",Genetic and Sex-Specific Transgenerational Effects of a High Fat Diet in Drosophila melanogaster,2016,remove,insufficient lines used,,,https://10.1371/journal.pone.0160857,,,,,,,,,,,,
,"JL Hackett, X Wang, BR Smith, SJ Macdonald",Mapping QTL Contributing to Variation in Posterior Lobe Morphology between Strains of Drosophila melanogaster,2016,remove,Unrelated ,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0162573,,,,,,,,,,,,
,"L Ku_erová, OI Kubrak…",Slowed aging during reproductive dormancy is reflected in genome-wide transcriptome changes in Drosophila melanogaster,2016,remove,unrelated,,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2383-1,,,,,,,,,,,,
Ackay (2017) Thesis,IM Akcay,Quantitative Genetics of Larval Starvation Resistance in Drosophila melanogaster,2017,don't,added,,Mean,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/155/1/phd_thesis_ETH23789.pdf,Survival,Starvation Resistance,129,Mean,NA,NA,210+,Individual,"cornmeal medium 100 g fresh yeast, 55 g cornmeal, 10 g wheat flour, 75 g sugar, 8 g bacto-agar and 1 l tap water",25,No,
,"S Mendez, L Watanabe, R Hill, M Owens…",The TreadWheel: a novel apparatus to measure genetic variation in response to gently induced exercise for Drosophila,2016,remove,insufficient lines used ,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164706,,,,,,,,,,,,
,"K Avia, SM Coelho, A Cormier, F Lercker…",Studying temperature and salinity stresses in the model brown alga Ectocarpus sp. by QTL mapping,2016,remove,Abstract,,,https://hal.inrae.fr/hal-02947471/document,,,,,,,,,,,,
,J Baldwin-Brown,"Identifying selection in differentiated populations through simulation, experimental evolution, and whole genome sequencing",2016,remove,Unrelated,,,https://search.proquest.com/openview/6f52a6e3b56173d7766958b5a44f6c21/1?pq-origsite=gscholar&cbl=18750,,,,,,,,,,,,
,"LW Hemmer, JP Blumenstiel",Holding it together: rapid evolution and positive selection in the synaptonemal complex of Drosophila,2016,remove,Used sequencing data from Mackay 2012 ,,,https://doi.org/10.1186/s12862-016-0670-8,,,,,,,,,,,,
,"NR Garud, DA Petrov",Elevation of linkage disequilibrium above neutral expectations in ancestral and derived populations of Drosophila melanogaster,2016,remove,DGRP not used,,,https://www.genetics.org/content/genetics/early/2016/04/25/genetics.115.184002.full.pdf,,,,,,,,,,,,
,"Y Lin, K Golovnina, ZX Chen…",Comparison of normalization and differential expression analyses using RNA-Seq data from 726 individual Drosophila melanogaster,2016,remove,Insufficient lines used (16),,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-015-2353-z,,,,,,,,,,,,
Akhund-Zade et al (2017) Journal of Insect Science,J. Akhund-Zade,The genetic basis of natural variation in drosophila (Diptera: Drosophilidae) virgin egg retention,2017,have,,,,https://doi.org/10.1093/jisesa/iew094,Virgin egg retention,?,90,,Female,,,,"6.25% unsulfured molasses, 7.8% cornmeal, 3% yeast, and 1.25% agar ",25,,
,"CE Stanley, RJ Kulathinal",Genomic signatures of domestication on neurogenetic genes in Drosophila melanogaster,2016,remove,Used sequencing data from Huang 2014,,,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-015-0580-1,,,,,,,,,,,,
,"MA Phillips, AD Long, ZS Greenspan, LF Greer…",Genome-wide analysis of long-term evolutionary domestication in Drosophila melanogaster,2016,remove,Simulated data,,,https://www.nature.com/articles/srep39281,,,,,,,,,,,,
,"E Elyashiv, S Sattath, TT Hu, A Strutsovsky…",A genomic map of the effects of linked selection in Drosophila,2016,remove,Used sequencing data from Huang 2014,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006130,,,,,,,,,,,,
,"MP Sato, T Makino, M Kawata",Natural selection in a population of Drosophila melanogaster explained by changes in gene expression caused by sequence variation in core promoter …,2016,remove,Used sequencing data from Mackay 2012 and transcriptome data from Ayroles 2009,,,https://bmcecolevol.biomedcentral.com/articles/10.1186/s12862-016-0606-3,,,,,,,,,,,,
,"P Juneja, A Quinn, FM Jiggins",Latitudinal clines in gene expression and cis-regulatory element variation in Drosophila melanogaster,2016,remove,Unrelated ,,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3333-7,,,,,,,,,,,,
,CK Pham,Conservation of avoidance behavior in Drosophila species exposed to volatile repellents,2016,remove,Insufficient lines used   ,,,https://escholarship.org/content/qt9b41c71q/qt9b41c71q.pdf,,,,,,,,,,,,
,EK Peterson,Consequences of developmental lead (Pb2+) exposure on reproductive strategies in Drosophila,2016,remove,"Thesis, data published Peterson 2019",,,NA,,,,,,,,,,,,
Schmidt et al (2017) Genetics,J. Schmidt,Insights into DDT resistance from the drosophila melanogaster genetic reference panel,2017,have,,,,https://doi.org/10.1534/genetics.117.300310,Sensitivity and survival to DDT,Insecticide Resistance ,184,Raw,Female,4-6,30,10,cornmeal molasses yeast,,,
,D Castellano Esteve,… a lo largo del genoma de Drosophila melanogaster Estimació de la petjada de la selecció natural i l'efecte Hill-Robertson al genoma de Drosophila …,2016,remove,,,,https://ddd.uab.cat/pub/tesis/2016/hdl_10803_385199/dce1de1.pdf,,,,,,,,,,,,
,"C Cao, MM Magwire, F Bayer, FM Jiggins",A Polymorphism in the Processing Body Component Ge-1 Controls Resistance to a Naturally Occurring Rhabdovirus in Drosophila,2016,remove,Unrelated,,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1005387,,,,,,,,,,,,
,F Gutzwiller,Evolution and Gene Expression of Wolbachia in D. melanogaster,2016,remove,Predictive of wolbachia infection,,,https://www.research.manchester.ac.uk/portal/files/78472424/FULL_TEXT.PDF,,,,,,,,,,,,
,X. He,Epistatic partners of neurogenic genes modulate Drosophila olfactory behavior,2016,remove,F1 progeny ,,,https://doi.org/10.1111/gbb.12279,,,,,,,,,,,,
"Wang, Lu and St. Leger (2017) PLOS Pathogens","JB Wang, HL Lu, RJ St. Leger",The genetic basis for variation in resistance to infection in the Drosophila melanogaster genetic reference panel,2017,have,,,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1006260,"Survival to Metarhizium anisopliae, Pseudomonas aeruginosa ",Infection response,"188,81",Mean,Both,2-4,,20,cornmeal molasses yeast,25,,
,K. Hope,The Drosophila melanogaster homolog of UBE3A is not imprinted in neurons,2016,remove,F1 progeny used,,,https://dx.doi.org/10.1080%2F15592294.2016.1214783,,,,,,,,,,,,
,S. Sunaga,Factors underlying natural variation in body pigmentation of Drosophila melanogaster,2016,remove,Insufficient lines used,,,https://doi.org/10.1266/ggs.15-00061,,,,,,,,,,,,
"Najarro, Hackett and Macdonald (2017) G3",M. Najarro,Loci contributing to boric acid toxicity in two reference populations of Drosophila melanogaster,2017,have,,,,https://doi.org/10.1534/g3.117.041418,Survival following Boric acid treatment ,Stress resistance,163,,Female,,16,,cornmeal yeast dextrose,25,,
Rohde et al (2017) Genetics,P. Rohde,Genomic analysis of genotype-by-social environment interaction for drosophila melanogaster aggressive behavior,2017,have,,,,https://doi.org/10.1534/genetics.117.200642,Agression in two social contexts ,Behaviour,87,,Male,,24,,cornmeal molasses yeast,25,,
,P.J. Bushnell,Genetic targets of acute toluene inhalation in Drosophila melanogaster,2017,don't,emailed twice - no response ,,,https://doi.org/10.1093/toxsci/kfw243,Activity,? Toluene resistance ,123,,Male,2,19,Individual ,cornmeal molasses agar,23-25,No,
,"Nandita R. Garud, Dmitri A. Petrov",Elevated Linkage Disequilibrium and Signatures of Soft Sweeps Are Common in Drosophila melanogaster,2016,remove,Unrelated,,,https://doi.org/10.1534/genetics.115.184002,,,,,,,,,,,,
Freda et al (2017) Integrative and Comparative Biology,P.J. Freda,Genetic decoupling of thermal hardiness across metamorphosis in drosophila melanogaster,2017,have,,,,https://doi.org/10.1093/icb/icx102,Survival,Thermal tolerance ,139,Raw,Both,5-7,,10,cornmeal molasses yeast,25,No,
Denecke et al (2017) Scientific Reports,"S Denecke, R Fusetto, F Martelli, A Giang, P Battlay…",Multiple P450s and variation in neuronal genes underpins the response to the insecticide imidacloprid in a population of Drosophila melanogaster,2017,have,,,,https://www.nature.com/articles/s41598-017-11092-5,Locomotion in larvae following Imidacloprid treatment ,Insecticide resistance ,171,,,,,,,,,
Howick and Lazzaro (2017) Molecular Ecology,V. Howick,The genetic architecture of defence as resistance to and tolerance of bacterial infection in Drosophila melanogaster,2017,have,,,,https://doi.org/10.1111/mec.14017,Survival and bacterial load ,Infection response ,172,Mean,Female,5-9,40,20," 8.3% glucose, 8.3% Brewer's yeast, 1% agar, with 0.04% phosphoric acid and 0.004% propionic acid ",24,,
,"L Zwarts, LV Broeck, E Cappuyns, JF Ayroles…",The genetic basis of natural variation in mushroom body size in Drosophila melanogaster,2015,remove,Not quantitative ,,,https://www.nature.com/articles/ncomms10115,,,,,,,,,,,,
Horvath and Kalinka (2018) Evolution,B. Horváth,The genetics of egg retention and fertilization success in Drosophila: One step closer to understanding the transition from facultative to obligate viviparity,2018,have,,,,https://doi.org/10.1111/evo.13411,Egg retention and fertilisation success ,"Fecunidty, ",91,Mean,Female,,,,Molasses soy corn,25,,
Rolandi et al (2018) Ecology and Evolution,C. Rolandi,Genetic variation for tolerance to high temperatures in a population of Drosophila melanogaster,2018,have,,,,https://doi.org/10.1002/ece3.4409,CTmax measured through activity ,Thermal tolerance ,34,Mean,Both,1,,,Carolina instant drosophila medium ,25,No,
,"JM Fear, MN Arbeitman…",The wright stuff: reimagining path analysis reveals novel components of the sex determination hierarchy in Drosophila melanogaster,2015,remove,F1 progeny used,,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-015-0200-0,,,,,,,,,,,,
,"U Ober, W Huang, M Magwire, M Schlather…",Accounting for Genetic Architecture Improves Sequence Based Genomic Prediction for a Drosophila Fitness Trait,2015,remove,Used previously publihsed data Mackay 2012,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126880,,,,,,,,,,,,
Duneau et al (2018) G3,"David Duneau, Haina Sun, Jonathan Revah, Keri San Miguel, Henry D. Kunerth, Ian V. Caldas, Philipp W. Messer, Jeffrey G. Scott, Nicolas Buchon",Signatures of Insecticide Selection in the Genome of Drosophila melanogaster,2018,have,,,,https://doi.org/10.1534/g3.118.200537,Survival following Parathion and deltamethrin treatment ,Insecticide Resistance ,194/5,Raw,Male,5-8,,20,cornmeal agar medium,22,,
"Lafuente, Duneau and Beldade (2018) PLOS Genetics","E Lafuente, D Duneau, P Beldade",Genetic basis of thermal plasticity variation in Drosophila melanogaster body size,2018,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007686,Body size in two thermal environemnts ,Morphology ,200,Mean,Female,8-10,5-20,,"45 gr. molasses, 75gr sugar, 70gr cornmeal, 20 gr. Yeast extract, 10 gr. Agar, 1100 ml water and 25 ml of Niapagin 10%",25,No,
Jehrke et al (2018) Scientific Reports,"L Jehrke, FA Stewart, A Droste, M Beller",The impact of genome variation and diet on the metabolic phenotype and microbiome composition of Drosophila melanogaster,2018,have,,,,https://doi.org/10.1038/s41598-018-24542-5,metabolic and microbiota profiling ,"Metabolism, Commensals ",35,Mean,Both,,,,,25,No,
Orsted et al (2018) Evolution,M. Ørsted,Environmental variation partitioned into separate heritable components,2018,have,,,,https://doi.org/10.1111/evo.13391,CTmin across 5 temperatures ,Thermal tolerance ,166,,Male,2-3,,,oatmeal sugar agar yeast,23,No,
,LM Dembeck,Quantitative Genetics of Cuticular Traits in Drosophila melanogaster,2015,remove,Abstract,,,https://repository.lib.ncsu.edu/bitstream/handle/1840.16/10518/etd.pdf?sequence=2,,,,,,,,,,,,
,"EG Williams, J Auwerx",The convergence of systems and reductionist approaches in complex trait analysis,2015,remove,Unrelated perspective piece ,,,https://www.sciencedirect.com/science/article/pii/S0092867415007084,,,,,,,,,,,,
,VM Howick,The evolution and genetic architecture of defense as resistance to and tolerance of pathogenic infection in Drosophila,2015,remove,Thesis related to Howick et al 2017.,,,https://ecommons.cornell.edu/xmlui/bitstream/handle/1813/41037/vmh28.pdf?sequence=1,,,,,,,,,,,,
Teets and Hahn (2018) Journal of Evolutionary Biology,N. Teets,Genetic variation in the shape of cold-survival curves in a single fly population suggests potential for selection from climate variability,2018,have,,,,https://doi.org/10.1111/jeb.13244,Survival  ,Thermal tolerance,36,,Female,5-8,80,20,"agar: 7.5 g L−1, cornmeal: 73 g L−1, molasses: 50 mL L−1, inactive yeast: 14.5 g L−1, tegosept 1.3 g L−1 and propionic acid: 6 mL L−1",25,No,
Rohde et al (2018) G3,"Palle Duun Rohde, Solveig Ostergaard, Torsten Nygaard Kristensen, Peter Sorensen, Volker Loeschcke, Trudy F. C. Mackay, Pernille Sarup",Functional Validation of Candidate Genes Detected by Genomic Feature Models,2018,have,,,,https://doi.org/10.1534/g3.118.200082,Locomotion,Activity,204,Mean,Males,2-5,24,,cornmeal molasses ,25,No,
Battlay et al (2018) G3,"Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,have,,,,https://doi.org/10.1534/g3.118.200619,Survival following  malathion/permethrin treatment,Insecticide Resistance,170,Mean,Both,3-5,~21,7,,,No,
,"M Stocks, R Dean, B Rogell, U Friberg",Sex-specific Trans-regulatory Variation on the Drosophila melanogaster X Chromosome,2015,remove,Used data from Aryoles 2009 and Mackay 2012,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005015,,,,,,,,,,,,
,X Zhao,"Genomic, evolutionary and functional analyses of diapause in Drosophila melanogaster",2015,remove,Outbred,,,https://repository.upenn.edu/cgi/viewcontent.cgi?article=3912&context=edissertations,,,,,,,,,,,,
,W Lu,"Genome-wide Association, Epistasis, and Selection of Quantitative Traits in Experimental Populations.",2015,remove,Simulated data,,,https://repository.lib.ncsu.edu/bitstream/handle/1840.16/10936/etd.pdf?sequence=2,,,,,,,,,,,,
,J Zhuang,Structural Variation Discovery and Genotyping from Whole Genome Sequencing: Methodology and Applications: A Dissertation,2015,remove,Used previously publihsed data Mackay 2012,,,http://escholarship.umassmed.edu/cgi/viewcontent.cgi?article=1877&context=gsbs_diss,,,,,,,,,,,,
,RC McCoy,"Applying Genomic Approaches to Address Ecological, Evolutionary, and Clinical Questions",2015,remove,Used published data,,,https://stacks.stanford.edu/file/druid:tg084mr1537/dissertation_submit-augmented.pdf,,,,,,,,,,,,
Dean et al (2020) Evolution,"Rebecca Dean, Camille Hammer, Vanessa Higham, Damian K. Dowling",Masculinization of gene expression is associated with male quality in Drosophila melanogaster,2018,have,,,,https://doi.org/10.1111/evo.13618,Fecundity ,Sex-biased gene expression and fecundity ,33,Mean,Male,4,,,corneal molasses agar ,25,,
,"NR Garud, PW Messer, EO Buzbas, DA Petrov",Recent Selective Sweeps in North American Drosophila melanogaster Show Signatures of Soft Sweeps,2015,remove,Used previously publihsed data Mackay 2012,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005004,,,,,,,,,,,,
