Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
Fimbriimonas.ginsengisoli,Male,0.49,0.06,0.55,0.89,0.12,0.18,0.1,0.32,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
fitness.early,Female,0.12,0.76,0.88,0.13,0.22,0.44,0.24,0.28,Reproduction,Fitness measured at an early or late stage of the reproductive lifespan of D. melanogaster,Wong and Holman (in prep)
fitness.early,Male,0.19,0.63,0.81,0.23,0.19,0.38,0.21,0.29,Reproduction,Fitness measured at an early or late stage of the reproductive lifespan of D. melanogaster,Wong and Holman (in prep)
flight.performance,Female,0.33,0.35,0.68,0.49,0.16,0.29,0.15,0.32,Activity,"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
flight.performance,Male,0,1.04,1.04,0,0.17,0.36,0.2,0.16,Activity,"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
food.intake,Female,0.47,0,0.47,1,0.14,0.24,0.11,0.5,NA,Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
food.intake,Male,0.38,0.22,0.6,0.64,0.13,0.23,0.12,0.32,NA,Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
foraging.survival,Male,0.31,0.34,0.65,0.48,0.11,0.2,0.11,0.23,Life history,Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,Lee et al (2017) Genome Biology and Evolution
G1P.G6P.F6P.F1P.high.yeast,Female,0,1.07,1.07,0,0.16,0.33,0.19,0.15,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics
G1P.G6P.F6P.F1P.low.yeast,Female,0.19,0.62,0.81,0.23,0.15,0.3,0.16,0.23,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics
Gardnerella.vaginalis,Female,0,1.07,1.07,0,0.14,0.29,0.17,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gardnerella.vaginalis,Male,0.1,0.8,0.9,0.11,0.14,0.29,0.16,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.obscuriglobus,Female,0.02,0.96,0.98,0.02,0.12,0.26,0.15,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.obscuriglobus,Male,0.22,0.56,0.78,0.28,0.17,0.32,0.17,0.27,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.sp.,Female,0,1.02,1.02,0,0.16,0.33,0.19,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.sp.,Male,0.08,0.85,0.93,0.08,0.18,0.37,0.2,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
genital.licking.frequency,Male,0.44,0,0.44,1,0.13,0.22,0.11,0.5,Behavioural,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Gaertner et al (2015) G3
NA,Pooled,0.49,0,0.49,1,0.1,0.16,0.08,0.33,Genomic,"Mean size of the genome in mb, estimated using flow cytometry. Higher values indicate a larger genome.",Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics
geranyl.pyrophosphate.high.yeast,Female,0,1.1,1.1,0,0.22,0.45,0.25,0.2,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
geranyl.pyrophosphate.low.yeast,Female,0.08,0.84,0.92,0.09,0.15,0.32,0.18,0.18,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Gluconacetobacter.diazotrophicus,Female,0.23,0.54,0.77,0.3,0.17,0.33,0.17,0.28,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconacetobacter.diazotrophicus,Male,0,1.06,1.06,0,0.22,0.45,0.24,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.frateurii,Female,0.11,0.78,0.89,0.12,0.14,0.28,0.16,0.17,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.frateurii,Male,0.02,0.96,0.98,0.02,0.14,0.29,0.17,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.morbifer,Female,0.11,0.78,0.89,0.12,0.15,0.3,0.17,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.morbifer,Male,0.04,0.93,0.96,0.04,0.14,0.29,0.17,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.oxydans,Female,0.12,0.76,0.88,0.13,0.14,0.29,0.16,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.oxydans,Male,0.05,0.91,0.95,0.05,0.14,0.29,0.17,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.thailandicus,Female,0.14,0.71,0.86,0.17,0.15,0.31,0.17,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.thailandicus,Male,0.21,0.58,0.79,0.27,0.17,0.32,0.17,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
glucoronate.high.yeast,Female,0.16,0.67,0.83,0.2,0.16,0.32,0.17,0.23,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucoronate.low.yeast,Female,0.1,0.8,0.9,0.11,0.18,0.36,0.2,0.22,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.2015,Male,0.05,0.91,0.97,0.05,0.18,0.37,0.21,0.19,Metabolome,Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glucose.anexic,Male,0.26,0.48,0.74,0.35,0.22,0.41,0.22,0.38,Metabolome,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.gnotobiotic,Male,0.07,0.85,0.92,0.08,0.14,0.29,0.18,0.16,Metabolome,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.high.glucose.diet,Male,0.33,0.3,0.64,0.52,0.15,0.28,0.15,0.34,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.high.yeast,Female,0.23,0.53,0.77,0.31,0.18,0.34,0.18,0.29,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.low.glucose.diet,Male,0.09,0.84,0.93,0.09,0.22,0.44,0.24,0.26,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.low.yeast,Female,0.29,0.42,0.71,0.41,0.16,0.3,0.16,0.3,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.medium.glucose.diet,Male,0.25,0.48,0.73,0.34,0.16,0.32,0.17,0.29,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.microbiome.effect,Male,0,0.99,1,0,0.29,0.6,0.33,0.29,Microbiome,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Dobson et al (2015) Nature Communications
glucose.yeast.poor.diet,Female,0.21,0.58,0.79,0.27,0.19,0.37,0.19,0.3,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics
glucose.yeast.rich.diet,Female,0.21,0.58,0.79,0.27,0.18,0.35,0.19,0.28,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics
glutamic.acid.high.yeast,Female,0.07,0.85,0.93,0.08,0.19,0.38,0.21,0.22,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamic.acid.low.yeast,Female,0,1.41,1.41,0,0.27,0.54,0.3,0.19,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamine.high.yeast,Female,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamine.low.yeast,Female,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glyceraldehyde.high.yeast,Female,0.09,0.81,0.91,0.1,0.2,0.41,0.22,0.25,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glyceraldehyde.low.yeast,Female,0.2,0.61,0.8,0.25,0.18,0.34,0.18,0.27,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerate.high.yeast,Female,0.15,0.7,0.85,0.17,0.16,0.32,0.18,0.22,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerate.low.yeast,Female,0.24,0.5,0.74,0.32,0.13,0.25,0.14,0.22,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol-3-P.high.yeast,Female,0,1.05,1.05,0,0.22,0.45,0.24,0.21,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol-3-P.low.yeast,Female,0,1.15,1.15,0,0.24,0.5,0.27,0.21,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol.2015,Male,0.29,0.4,0.69,0.42,0.2,0.38,0.2,0.39,Metabolome,Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glycerol.high.glucose.diet,Male,0.02,0.94,0.96,0.02,0.22,0.45,0.25,0.23,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycerol.low.glucose.diet,Male,0.44,0.12,0.56,0.79,0.19,0.34,0.17,0.55,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycerol.medium.glucose.diet,Male,0.26,0.48,0.74,0.35,0.24,0.45,0.23,0.42,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycine.high.yeast,Female,0,1.09,1.09,0,0.18,0.38,0.22,0.17,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycine.low.yeast,Female,0.27,0.47,0.74,0.37,0.19,0.36,0.18,0.33,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycogen.2015,Male,0.11,0.77,0.88,0.13,0.23,0.46,0.25,0.29,Metabolome,Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glycogen.high.glucose.diet,Male,0.42,0.18,0.6,0.69,0.23,0.42,0.21,0.6,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycogen.low.glucose.diet,Male,0.46,0,0.46,1,0.16,0.28,0.14,0.61,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycogen.medium.glucose.diet,Male,0.45,0,0.45,1,0.17,0.31,0.15,0.68,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
GMP.high.yeast,Female,0,1.15,1.15,0,0.18,0.38,0.22,0.16,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
GMP.low.yeast,Female,0.27,0.46,0.73,0.37,0.15,0.29,0.15,0.27,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
guanosine.high.yeast,Female,0.2,0.61,0.81,0.24,0.19,0.36,0.19,0.28,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
guanosine.low.yeast,Female,0,1.16,1.16,0,0.22,0.45,0.25,0.19,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
gustatory.response.ethanol,Female,0.39,0.21,0.61,0.65,0.16,0.3,0.15,0.41,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis
gustatory.response.ethanol,Male,0.36,0,0.36,1,0.1,0.19,0.09,0.52,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis
gut.permeability,Female,0.48,0,0.48,1,0.12,0.19,0.1,0.39,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following no exposure to radiation. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific Reports
gut.permeability.radiation,Female,0,1.15,1.15,0,0.28,0.56,0.3,0.24,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following exposure to 100 gray units of ionising radiation when flies were 5 days old. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports
histamine.high.yeast,Female,0.07,0.86,0.93,0.07,0.13,0.28,0.16,0.15,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histamine.low.yeast,Female,0.2,0.59,0.79,0.25,0.15,0.29,0.16,0.23,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histidine.high.yeast,Female,0.07,0.86,0.93,0.08,0.14,0.29,0.17,0.16,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histidine.low.yeast,Female,0.39,0.2,0.6,0.66,0.12,0.21,0.11,0.29,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
homogentisate.high.yeast,Female,0.31,0.38,0.69,0.45,0.16,0.29,0.15,0.31,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
homogentisate.low.yeast,Female,0.48,0,0.48,1,0.11,0.17,0.09,0.36,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
hydrogen.peroxide.resistance,Female,0.16,0.69,0.84,0.19,0.18,0.35,0.19,0.25,NA,Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,Harrison et al (2020) BMC Genomics
Hymenobacter.sp.,Female,0.3,0.41,0.71,0.42,0.15,0.28,0.15,0.29,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.sp.,Male,0.38,0.25,0.63,0.6,0.15,0.26,0.13,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.swuensis,Female,0.08,0.84,0.92,0.09,0.16,0.33,0.18,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.swuensis,Male,0.19,0.62,0.81,0.23,0.14,0.27,0.15,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
hypoxanthine.high.yeast,Female,0,1,1,0,0.18,0.38,0.21,0.18,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
hypoxanthine.low.yeast,Female,0.2,0.61,0.8,0.24,0.16,0.31,0.17,0.24,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Ideonella.sp.,Female,0.23,0.54,0.77,0.3,0.14,0.27,0.15,0.23,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Ideonella.sp.,Male,0,1.13,1.13,0,0.17,0.36,0.2,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
imidacloprid.resistance.100p,Pooled,0.49,0,0.49,1,0.13,0.19,0.1,0.4,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 100ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
imidacloprid.resistance.25p,Pooled,0.06,0.88,0.94,0.06,0.17,0.34,0.19,0.19,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 25ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
IMP.high.yeast,Female,0.01,0.99,0.99,0.01,0.14,0.3,0.17,0.14,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
IMP.low.yeast,Female,0.15,0.7,0.85,0.18,0.14,0.28,0.16,0.19,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inosine.high.yeast,Female,0.09,0.81,0.91,0.1,0.17,0.34,0.19,0.2,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inosine.low.yeast,Female,0.15,0.69,0.85,0.18,0.18,0.36,0.19,0.25,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
NA,Female,0.15,0.69,0.85,0.18,0.17,0.35,0.19,0.24,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
