Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
Enterococcus.hirae.m,0.31,0.4,0.71,0.44,0.17,0.31,0.16,0.32,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
epinephrine.high.yeast.f,0.31,0.38,0.7,0.45,0.18,0.33,0.17,0.35,Female,Metabolome,Mean relative epinephrine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
epinephrine.low.yeast.f,0.1,0.8,0.9,0.11,0.2,0.41,0.22,0.25,Female,Metabolome,Mean relative epinephrine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Escherichia.coli.f,0,1.16,1.16,0,0.18,0.37,0.21,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Escherichia.coli.m,0.09,0.82,0.91,0.1,0.14,0.29,0.17,0.17,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
ethanol.sensitivity.development.time,0.09,0.81,0.91,0.1,0.12,0.24,0.14,0.14,Both,Stress resistance,"The mean difference in egg-to-adult development time in days, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Higher values indicate a longer development time for ethanol-supplemented flies.",Morozova (2019) G3
ethanol.sensitivity.first.exposure.f,0.23,0.55,0.78,0.29,0.18,0.35,0.18,0.29,Female,Drug response,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,Morozova el al. (2015) BMC Genomics
ethanol.sensitivity.first.exposure.m,0.11,0.79,0.89,0.12,0.17,0.34,0.18,0.21,Male,Drug response,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,Morozova el al. (2015) BMC Genomics
ethanol.sensitivity.second.exposure.f,0.44,0.17,0.6,0.72,0.15,0.25,0.13,0.37,Female,Drug response,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",Morozova el al. (2015) BMC Genomics
ethanol.sensitivity.second.exposure.m,0.27,0.46,0.73,0.37,0.15,0.28,0.15,0.26,Male,Drug response,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.",Morozova el al. (2015) BMC Genomics
ethanol.sensitivity.viability,0.36,0.29,0.65,0.55,0.15,0.27,0.14,0.33,Both,Stress resistance,"The mean difference in the percentage of flies surviving to eclosion, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Lower values indicate a greater negative effect of ethanol on egg to adult viability.",Morozova (2019) G3
ethanol.tolerance.f,0.32,0.33,0.65,0.49,0.12,0.21,0.11,0.24,Female,Drug response,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Morozova el al. (2015) BMC Genomics
ethanol.tolerance.m,0.44,0.07,0.51,0.86,0.1,0.16,0.09,0.3,Male,Drug response,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,Morozova el al. (2015) BMC Genomics
exercise.induced.activity.f,0.08,0.84,0.92,0.09,0.19,0.39,0.22,0.22,Female,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3
exercise.induced.activity.m,0,1.19,1.19,0,0.25,0.51,0.28,0.21,Male,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3
Exophiala.xenobiotica.f,0.01,0.98,0.99,0.01,0.12,0.26,0.16,0.12,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Exophiala.xenobiotica.m,0.22,0.56,0.78,0.28,0.17,0.32,0.17,0.27,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
fecundity.f,0.21,0.58,0.79,0.27,0.22,0.42,0.22,0.34,Female,Reproduction,"Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.",Evangelou et al (2019) G3
fertilised.egg.retention.score.f,0,1.2,1.2,0,0.44,0.9,0.48,0.37,Female,Reproduction,"Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.",Horvath and Kalinka (2018) Evolution
fertility.25C.m,0,1.12,1.12,0,0.32,0.64,0.33,0.28,Male,Reproduction,Mean proportion of males that produced viable larvae. Males were reared at 25C. Higher values indicates greater fertility.,Zwoinska et al (2020) Frontiers in Genetics
fertility.27C.m,0,1.16,1.16,0,0.33,0.67,0.35,0.29,Male,Reproduction,Mean proportion of males that produced viable larvae. Males were reared at 27C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fertility.29C.m,0,1.37,1.37,0,0.57,1.12,0.57,0.42,Male,Reproduction,Mean proportion of males that produced viable larvae. Males were reared at 29C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fertility.thermal.plasticity.m,0,1.33,1.33,0,0.44,0.87,0.45,0.33,Male,Reproduction,"Mean change in the proportion of males that produced viable larvae, between 25C and 29C rearing conditions. Lower values indicate a greater decrease in fertility at the higher temperature.",Zwoinska et al (2020) Frontiers in Genetics
FHV.resistance.m,0.14,0.77,0.91,0.15,0.2,0.39,0.21,0.25,Male,Pathogen response,"Mean days survived after infection with Flock House Virus (FHV) - a nodavirus virus that typically infects beetles. Higher values indicate a longer lifespan, and therefore a greater resistance to FHV.",Magwire et al (2012) PLOS Genetics
Fimbriimonas.ginsengisoli.f,0.39,0.24,0.63,0.62,0.15,0.27,0.14,0.36,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Fimbriimonas.ginsengisoli.m,0.49,0.06,0.55,0.89,0.12,0.18,0.1,0.32,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
fitness.early.f,0.12,0.76,0.88,0.13,0.22,0.44,0.24,0.28,Female,Reproduction,Fitness measured at an early or late stage of the reproductive lifespan of D. melanogaster,Wong and Holman (in prep)
fitness.early.m,0.19,0.63,0.81,0.23,0.19,0.38,0.21,0.29,Male,Reproduction,Fitness measured at an early or late stage of the reproductive lifespan of D. melanogaster,Wong and Holman (in prep)
flight.performance.f,0.33,0.35,0.68,0.49,0.16,0.29,0.15,0.32,Female,Activity,"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
flight.performance.m,0,1.04,1.04,0,0.17,0.36,0.2,0.16,Male,Activity,"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
food.intake.f,0.47,0,0.47,1,0.14,0.24,0.11,0.5,Female,NA,Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
food.intake.m,0.38,0.22,0.6,0.64,0.13,0.23,0.12,0.32,Male,NA,Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
foraging.survival.m,0.31,0.34,0.65,0.48,0.11,0.2,0.11,0.23,Male,Life history,Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,Lee et al (2017) Genome Biology and Evolution
G1P.G6P.F6P.F1P.high.yeast.f,0,1.07,1.07,0,0.16,0.33,0.19,0.15,Female,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics
G1P.G6P.F6P.F1P.low.yeast.f,0.19,0.62,0.81,0.23,0.15,0.3,0.16,0.23,Female,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics
Gardnerella.vaginalis.f,0,1.07,1.07,0,0.14,0.29,0.17,0.13,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gardnerella.vaginalis.m,0.1,0.8,0.9,0.11,0.14,0.29,0.16,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.obscuriglobus.f,0.02,0.96,0.98,0.02,0.12,0.26,0.15,0.13,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.obscuriglobus.m,0.22,0.56,0.78,0.28,0.17,0.32,0.17,0.27,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.sp..f,0,1.02,1.02,0,0.16,0.33,0.19,0.15,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gemmata.sp..m,0.08,0.85,0.93,0.08,0.18,0.37,0.2,0.21,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
genital.licking.frequency.m,0.44,0,0.44,1,0.13,0.22,0.11,0.5,Male,Behavioural,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Gaertner et al (2015) G3
genome.size,0.49,0,0.49,1,0.1,0.16,0.08,0.33,Both,Genomic,"Mean size of the genome in mb, estimated using flow cytometry. Higher values indicate a larger genome.",Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics
geranyl.pyrophosphate.high.yeast.f,0,1.1,1.1,0,0.22,0.45,0.25,0.2,Female,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
geranyl.pyrophosphate.low.yeast.f,0.08,0.84,0.92,0.09,0.15,0.32,0.18,0.18,Female,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Gluconacetobacter.diazotrophicus.f,0.23,0.54,0.77,0.3,0.17,0.33,0.17,0.28,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconacetobacter.diazotrophicus.m,0,1.06,1.06,0,0.22,0.45,0.24,0.21,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.frateurii.f,0.11,0.78,0.89,0.12,0.14,0.28,0.16,0.17,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.frateurii.m,0.02,0.96,0.98,0.02,0.14,0.29,0.17,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.morbifer.f,0.11,0.78,0.89,0.12,0.15,0.3,0.17,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.morbifer.m,0.04,0.93,0.96,0.04,0.14,0.29,0.17,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.oxydans.f,0.12,0.76,0.88,0.13,0.14,0.29,0.16,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.oxydans.m,0.05,0.91,0.95,0.05,0.14,0.29,0.17,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.thailandicus.f,0.14,0.71,0.86,0.17,0.15,0.31,0.17,0.21,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Gluconobacter.thailandicus.m,0.21,0.58,0.79,0.27,0.17,0.32,0.17,0.26,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
glucoronate.high.yeast.f,0.16,0.67,0.83,0.2,0.16,0.32,0.17,0.23,Female,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucoronate.low.yeast.f,0.1,0.8,0.9,0.11,0.18,0.36,0.2,0.22,Female,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.2015.m,0.05,0.91,0.97,0.05,0.18,0.37,0.21,0.19,Male,Metabolome,Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glucose.anexic.m,0.26,0.48,0.74,0.35,0.22,0.41,0.22,0.38,Male,Metabolome,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.gnotobiotic.m,0.07,0.85,0.92,0.08,0.14,0.29,0.18,0.16,Male,Metabolome,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.high.glucose.diet.m,0.33,0.3,0.64,0.52,0.15,0.28,0.15,0.34,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.high.yeast.f,0.23,0.53,0.77,0.31,0.18,0.34,0.18,0.29,Female,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.low.glucose.diet.m,0.09,0.84,0.93,0.09,0.22,0.44,0.24,0.26,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.low.yeast.f,0.29,0.42,0.71,0.41,0.16,0.3,0.16,0.3,Female,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glucose.medium.glucose.diet.m,0.25,0.48,0.73,0.34,0.16,0.32,0.17,0.29,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glucose.microbiome.effect.m,0,0.99,1,0,0.29,0.6,0.33,0.29,Male,Microbiome,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Dobson et al (2015) Nature Communications
glucose.yeast.poor.diet.f,0.21,0.58,0.79,0.27,0.19,0.37,0.19,0.3,Female,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics
glucose.yeast.rich.diet.f,0.21,0.58,0.79,0.27,0.18,0.35,0.19,0.28,Female,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics
glutamic.acid.high.yeast.f,0.07,0.85,0.93,0.08,0.19,0.38,0.21,0.22,Female,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamic.acid.low.yeast.f,0,1.41,1.41,0,0.27,0.54,0.3,0.19,Female,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamine.high.yeast.f,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2,Female,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glutamine.low.yeast.f,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2,Female,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glyceraldehyde.high.yeast.f,0.09,0.81,0.91,0.1,0.2,0.41,0.22,0.25,Female,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glyceraldehyde.low.yeast.f,0.2,0.61,0.8,0.25,0.18,0.34,0.18,0.27,Female,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerate.high.yeast.f,0.15,0.7,0.85,0.17,0.16,0.32,0.18,0.22,Female,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerate.low.yeast.f,0.24,0.5,0.74,0.32,0.13,0.25,0.14,0.22,Female,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol-3-P.high.yeast.f,0,1.05,1.05,0,0.22,0.45,0.24,0.21,Female,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol-3-P.low.yeast.f,0,1.15,1.15,0,0.24,0.5,0.27,0.21,Female,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycerol.2015.m,0.29,0.4,0.69,0.42,0.2,0.38,0.2,0.39,Male,Metabolome,Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glycerol.high.glucose.diet.m,0.02,0.94,0.96,0.02,0.22,0.45,0.25,0.23,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycerol.low.glucose.diet.m,0.44,0.12,0.56,0.79,0.19,0.34,0.17,0.55,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycerol.medium.glucose.diet.m,0.26,0.48,0.74,0.35,0.24,0.45,0.23,0.42,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycine.high.yeast.f,0,1.09,1.09,0,0.18,0.38,0.22,0.17,Female,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycine.low.yeast.f,0.27,0.47,0.74,0.37,0.19,0.36,0.18,0.33,Female,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
glycogen.2015.m,0.11,0.77,0.88,0.13,0.23,0.46,0.25,0.29,Male,Metabolome,Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
glycogen.high.glucose.diet.m,0.42,0.18,0.6,0.69,0.23,0.42,0.21,0.6,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycogen.low.glucose.diet.m,0.46,0,0.46,1,0.16,0.28,0.14,0.61,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
glycogen.medium.glucose.diet.m,0.45,0,0.45,1,0.17,0.31,0.15,0.68,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
GMP.high.yeast.f,0,1.15,1.15,0,0.18,0.38,0.22,0.16,Female,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
GMP.low.yeast.f,0.27,0.46,0.73,0.37,0.15,0.29,0.15,0.27,Female,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
guanosine.high.yeast.f,0.2,0.61,0.81,0.24,0.19,0.36,0.19,0.28,Female,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
guanosine.low.yeast.f,0,1.16,1.16,0,0.22,0.45,0.25,0.19,Female,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
gustatory.response.ethanol.f,0.39,0.21,0.61,0.65,0.16,0.3,0.15,0.41,Female,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis
gustatory.response.ethanol.m,0.36,0,0.36,1,0.1,0.19,0.09,0.52,Male,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis
gut.permeability.f,0.48,0,0.48,1,0.12,0.19,0.1,0.39,Female,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following no exposure to radiation. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific Reports
