Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Mackay et al (2012) Nature,startle.response.f,204,Female,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,"TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Mackay et al (2012) Nature,startle.response.m,204,Male,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,"TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Mackay et al (2012) Nature,starvation.resistance.2012.f,203,Female,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,"TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Mackay et al (2012) Nature,starvation.resistance.2012.m,203,Male,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,"TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Mackay et al (2012) Nature,chill.coma.recovery.f,176,Female,"Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.","TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Mackay et al (2012) Nature,chill.coma.recovery.m,176,Male,"Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.","TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,https://www.nature.com/articles/nature10811,NA,NA,NA,cornmeal molasses yeast agar,25,NA
Maesani et al (2015) PLOS Computational Biology,locomotor.frequency.f,98,Female,The proportion of flies engaging in a ‘walking bout’ at a given time point. Higher values indicate more active lines.,"A Maesani, P Ramdya, S Cruchet…",Fluctuation-Driven Neural Dynamics Reproduce Drosophila Locomotor Patterns,2015,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004577,02-May,NA,NA,NA,25,NA
Magwire et al (2011) PLOS Genetics,sigma.virus.sensitivity.f,189,Female,"Mean proportion of adults infected with sigma virus (DmelSV), 13 days post infection. Sigma virus is a rhabdovirus that naturally occurs in D. melanogaster. It causes flies paralysis in flies exposed to CO2. Higher values indicate a higher (???) proportion of paralysed flies after exposure to CO2, and therefore greater sensitivity to sigma virus.","MM Magwire, F Bayer, CL Webster, C Cao…",Successive Increases in the Resistance of Drosophila to Viral Infection through a Transposon Insertion Followed by a Duplication,2011,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002337,NA,NA,NA,NA,NA,NA
Magwire et al (2012) PLOS Genetics,drosophila.C.virus.resistance.m,155,Male,"Mean days survived after infection with Drosophila C Virus (DCV) - a positive sense RNA virus that naturally infects multiple Drosophila species. Higher values indicate a longer lifespan, and therefore a greater resistance to DCV.","MM Magwire, DK Fabian, H Schweyen, C Cao…",Genome-Wide Association Studies Reveal a Simple Genetic Basis of Resistance to Naturally Coevolving Viruses in Drosophila melanogaster,2012,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003057,NA,8,mixed,cornmeal agar,NA,NA
Magwire et al (2012) PLOS Genetics,flock.house.virus.resistance.m,182,Male,"Mean days survived after infection with Flock House Virus (FHV) - a nodavirus virus that typically infects beetles. Higher values indicate a longer lifespan, and therefore a greater resistance to FHV.","MM Magwire, DK Fabian, H Schweyen, C Cao…",Genome-Wide Association Studies Reveal a Simple Genetic Basis of Resistance to Naturally Coevolving Viruses in Drosophila melanogaster,2012,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003057,NA,8,mixed,cornmeal agar,NA,NA
Mendez et al (2016) PLOS One,climbing.ability.control.exercise.m,4,Male,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate greater climbing ability.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,climbing.ability.post.exercise.m,4,Male,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - following a three-day exercise regime. Higher values indicate greater climbing ability.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,climbing.ability.pre.exercise.m,4,Male,Mean climbing index score - calculated using a design that takes advantage of negative geotaxis - prior to a three-day exercise regime. Higher values indicate greater climbing ability.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,food.intake.control.exercise.m,4,Male,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate greater food consumption.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,food.intake.post.exercise.m,4,Male,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, following a three-day exercise regime. Higher values indicate greater food consumption.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glucose.abdomen.content.control.exercise.m,4,Male,"Mean abdomen glucose content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glucose.abdomen.content.post.exercise.m,4,Male,"Mean abdomen glucose content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glucose.thorax.content.control.exercise.m,4,Male,"Mean thorax glucose content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glucose.thorax.content.post.exercise.m,4,Male,"Mean thorax glucose content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glycerol.abdomen.content.control.exercise.m,4,Male,"Mean abdomen glycerol content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glycerol.abdomen.content.post.exercise.m,4,Male,"Mean abdomen glycerol content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glycerol.thorax.content.control.exercise.m,4,Male,"Mean thorax glycerol content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,glycerol.thorax.content.post.exercise.m,4,Male,"Mean thorax glycerol content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,protein.abdomen.content.control.exercise.m,4,Male,"Mean abdomen protein content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,protein.abdomen.content.post.exercise.m,4,Male,"Mean abdomen protein content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,protein.thorax.content.control.exercise.m,4,Male,"Mean thorax protein content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,protein.thorax.content.post.exercise.m,4,Male,"Mean thorax protein content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,triglyceride.abdomen.content.control.exercise.m,4,Male,"Mean abdomen triglyceride content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,triglyceride.abdomen.content.post.exercise.m,4,Male,"Mean abdomen triglyceride content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,triglyceride.thorax.content.control.exercise.m,4,Male,"Mean thorax triglyceride content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,triglyceride.thorax.content.post.exercise.m,4,Male,"Mean thorax triglyceride content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,weight.control.exercise.m,4,Male,"Mean wet weight of flies, measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate heavier flies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendez et al (2016) PLOS One,weight.post.exercise.m,4,Male,"Mean wet weight of flies, following a three day exercise regime. Higher values indicate heavier flies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell et al (2017) PLOS One,alpha-amanitin.resistance.0.2,186,Pooled,"Mean number of flies exposed to alpha-amanitin, at concentration 0.2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Chelsea L. Mitchell, Catrina E. Latuszek, Kara R. Vogel, Ian M. Greenlund, Rebecca E. Hobmeier, Olivia K. Ingram, Shannon R. Dufek, Jared L. Pecore, Felicia R. Nip, Zachary J. Johnson, Xiaohui Ji, Hairong Wei, Oliver Gailing, Thomas Werner",alpha-amanitin resistance in Drosophila melanogaster: A genome-wide association approach,2017,https://doi.org/10.1371/journal.pone.0173162,NA,30,10,"cornmeal, granulated sugar, Brewer’s yeast, agar, and methylparaben",NA,NA
Mitchell et al (2017) PLOS One,alpha-amanitin.resistance.2,186,Pooled,"Mean number of flies exposed to alpha-amanitin, at concentration 2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Chelsea L. Mitchell, Catrina E. Latuszek, Kara R. Vogel, Ian M. Greenlund, Rebecca E. Hobmeier, Olivia K. Ingram, Shannon R. Dufek, Jared L. Pecore, Felicia R. Nip, Zachary J. Johnson, Xiaohui Ji, Hairong Wei, Oliver Gailing, Thomas Werner",alpha-amanitin resistance in Drosophila melanogaster: A genome-wide association approach,2017,https://doi.org/10.1371/journal.pone.0173162,NA,30,10,"cornmeal, granulated sugar, Brewer’s yeast, agar, and methylparaben",NA,NA
Mitchell et al (2017) PLOS One,alpha-amanitin.resistance.LC50,36,Pooled,"Mean alpha-amanitin concentration required for 50% of larvae to die prior to reaching adulthood (LC50). Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a higher LC50 and a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.","Chelsea L. Mitchell, Catrina E. Latuszek, Kara R. Vogel, Ian M. Greenlund, Rebecca E. Hobmeier, Olivia K. Ingram, Shannon R. Dufek, Jared L. Pecore, Felicia R. Nip, Zachary J. Johnson, Xiaohui Ji, Hairong Wei, Oliver Gailing, Thomas Werner",alpha-amanitin resistance in Drosophila melanogaster: A genome-wide association approach,2017,https://doi.org/10.1371/journal.pone.0173162,NA,30,10,"cornmeal, granulated sugar, Brewer’s yeast, agar, and methylparaben",NA,NA
Montgomery et al (2014) PLOS One,MeHg.tolerance,171,Pooled,"Methylmercury (MeHg) is a persistent environmental toxin present in seafood that can compromise the developing nervous system in humans. To assess overall developmental tolerance on MeHg media, the authors calculate an eclosion index – higher values indicate greater relative egg-to-adult viability when reared on MeHg supplemented media.","SL Montgomery, D Vorojeikina, W Huang, TFC Mackay…",Genome-Wide Association Analysis of Tolerance to Methylmercury Toxicity in Drosophila Implicates Myogenic and Neuromuscular Developmental Pathways,2014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110375,NA,NA,NA,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,startle.response.variance.f,201,Female,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,startle.response.variance.m,201,Male,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,starvation.resistance.variance.f,197,Female,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,starvation.resistance.variance.m,197,Male,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,chill.coma.recovery.variance.f,174,Female,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morgante et al (2015) Scientific Reports,chill.coma.recovery.variance.m,174,Male,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,https://doi.org/10.1038/srep09785,"2, 3-7",NA,10 sex-separated,cornmeal molasses agar,25,NA
Morozova (2018) G3,startle.response.2018.f,38,Female,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,startle.response.2018.m,38,Male,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,startle.response.EtOH.f,38,Female,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,startle.response.EtOH.m,38,Male,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,egg.adult.viability.ethanol.exposure,201,Pooled,"Percentage of flies surviving to eclosion, after development on food supplemented with 10% EtOH (ethanol). Higher values indicate greater viability.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,ethanol.sensitivity.development.time,201,Pooled,"The mean difference in egg-to-adult development time in days, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Higher values indicate a longer development time for ethanol-supplemented flies.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,ethanol.sensitivity.startle.response.f,38,Female,"Mean difference in the amount of time adult flies remained mobile across a 60 second period following mechanical disturbance, between those grown on 10% EtOH (ethanol) supplemented food and those that developed on standard medium. Lower values indicate a greater negative effect on startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,ethanol.sensitivity.startle.response.m,38,Male,"Mean difference in the amount of time adult flies remained mobile across a 60 second period following mechanical disturbance, between those grown on 10% EtOH (ethanol) supplemented food and those that developed on standard medium. Lower values indicate a greater negative effect on startle response.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,ethanol.sensitivity.viability,201,Pooled,"The mean difference in the percentage of flies surviving to eclosion, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Lower values indicate a greater negative effect of ethanol on egg to adult viability.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,egg.adult.development.time.2018,201,Pooled,"Mean development time in days from egg to adult eclosion, on a standard diet. Higher values indicate a longer development time.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,egg.adult.development.time.EtOH.exposure,201,Pooled,"Mean development time in days from egg to adult eclosion, on a diet supplemented with 10% EtOH (ethanol). Higher values indicate a longer development time.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova (2018) G3,egg.adult.viability.2018,201,Pooled,"Percentage of flies surviving to eclosion, after development on standard food. Higher values indicate greater viability.","V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,https://doi.org/10.1534/g3.118.200260,"NA,3-5","250(50x5reps),20(singlex20reps)",NA,cornmeal molasses yeast medium,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.sensitivity.first.exposure.f,205,Female,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,"TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.sensitivity.first.exposure.m,205,Male,Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.,"TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.sensitivity.second.exposure.f,205,Female,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.","TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.sensitivity.second.exposure.m,205,Male,"Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.","TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.tolerance.f,205,Female,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,"TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Morozova el al. (2015) BMC Genomics,ethanol.tolerance.m,205,Male,Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.,"TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,https://link.springer.com/article/10.1186/s12864-015-2064-5,03-May,140,70 per rep,cornmeal molasses yeast,25,NA
Muñoz-Muñoz et al (2016) Evolution,wing.size.f,40,Female,Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
